,rnaspider
00010_cppc_0009788.pdb,0.0
00003_cppc_0002364.pdb,0.0
00012_cppc_0011336.pdb,0.0
00011_cppc_0010234.pdb,0.0
00045_cpr7p_0031181.pdb,1.0
00002_cppc_0001771.pdb,0.0
00010_cppc_0009735.pdb,0.0
00005_cppc_0004207.pdb,0.0
00006_cppc_0005718.pdb,0.0
00034_cpr7p_0020224.pdb,0.0
00011_cppc_0010416.pdb,0.0
00029_cpr7p_0015470.pdb,1.0
00008_cppc_0007157.pdb,0.0
00002_cppc_0001741.pdb,0.0
00012_cppc_0011542.pdb,0.0
00012_cppc_0011890.pdb,0.0
00004_cppc_0003588.pdb,0.0
00010_cppc_0009509.pdb,0.0
00009_cppc_0008171.pdb,0.0
00012_cppc_0011783.pdb,0.0
00050_cpr7p_0035594.pdb,0.0
00005_cppc_0004059.pdb,0.0
00004_cppc_0003433.pdb,0.0
00005_cppc_0004188.pdb,0.0
00010_cppc_0009439.pdb,0.0
00012_cppc_0011968.pdb,0.0
00002_cppc_0001491.pdb,0.0
00012_cppc_0011029.pdb,0.0
00010_cppc_0009409.pdb,0.0
00012_cppc_0011339.pdb,0.0
00009_cppc_0008228.pdb,0.0
00012_cppc_0011003.pdb,0.0
00004_cppc_0003420.pdb,0.0
00010_cppc_0009489.pdb,0.0
00011_cppc_0010501.pdb,0.0
00008_cppc_0007767.pdb,0.0
00007_cppc_0006161.pdb,0.0
00044_cpr7p_0030066.pdb,0.0
00009_cppc_0008809.pdb,0.0
00006_cppc_0005049.pdb,0.0
00002_cppc_0001739.pdb,0.0
00001_cppc_0000108.pdb,0.0
00027_cpr7p_0012758.pdb,0.0
00007_cppc_0006497.pdb,0.0
00009_cppc_0008349.pdb,0.0
00002_cppc_0001428.pdb,0.0
00005_cppc_0004091.pdb,0.0
00011_cppc_0010834.pdb,0.0
00005_cppc_0004501.pdb,0.0
00002_cppc_0001868.pdb,0.0
00007_cppc_0006258.pdb,0.0
00017_cpr7p_0003468.pdb,0.0
00004_cppc_0003462.pdb,0.0
00011_cppc_0010342.pdb,1.0
00022_cpr7p_0007737.pdb,0.0
00050_cpr7p_0036133.pdb,0.0
00010_cppc_0009700.pdb,0.0
00002_cppc_0001171.pdb,0.0
00007_cppc_0006291.pdb,1.0
00014_cppc_0013192.pdb,0.0
00036_cpr7p_0022200.pdb,0.0
00042_cpr7p_0028201.pdb,0.0
00019_cpr7p_0005470.pdb,1.0
00003_cppc_0002742.pdb,0.0
00004_cppc_0003341.pdb,0.0
00004_cppc_0003787.pdb,0.0
00005_cppc_0004529.pdb,0.0
00006_cppc_0005126.pdb,0.0
00045_cpr7p_0031232.pdb,0.0
00002_cppc_0001626.pdb,0.0
00007_cppc_0006469.pdb,0.0
00014_cppc_0013066.pdb,0.0
00006_cppc_0005235.pdb,0.0
00046_cpr7p_0031696.pdb,0.0
00005_cppc_0004369.pdb,0.0
00023_cpr7p_0008626.pdb,0.0
00001_cppc_0000295.pdb,0.0
00009_cppc_0008399.pdb,0.0
00007_cppc_0006316.pdb,0.0
00003_cppc_0002433.pdb,0.0
00011_cppc_0010627.pdb,0.0
00008_cppc_0007961.pdb,0.0
00009_cppc_0008508.pdb,0.0
00049_cpr7p_0035053.pdb,0.0
00013_cppc_0012504.pdb,0.0
00011_cppc_0010570.pdb,0.0
00010_cppc_0009308.pdb,0.0
00013_cppc_0012102.pdb,0.0
00011_cppc_0010197.pdb,0.0
00011_cppc_0010642.pdb,0.0
00002_cppc_0001592.pdb,0.0
00002_cppc_0001931.pdb,0.0
00009_cppc_0008311.pdb,0.0
00049_cpr7p_0034685.pdb,0.0
00019_cpr7p_0005200.pdb,0.0
00008_cppc_0007029.pdb,0.0
00003_cppc_0002214.pdb,0.0
00001_cppc_0000062.pdb,0.0
00026_cpr7p_0012421.pdb,0.0
00004_cppc_0003413.pdb,0.0
00002_cppc_0001089.pdb,0.0
00006_cppc_0005735.pdb,0.0
00034_cpr7p_0020054.pdb,0.0
00008_cppc_0007587.pdb,0.0
00035_cpr7p_0020663.pdb,0.0
00005_cppc_0004669.pdb,0.0
00008_cppc_0007355.pdb,0.0
00005_cppc_0004390.pdb,0.0
00002_cppc_0001950.pdb,0.0
00003_cppc_0002514.pdb,0.0
00025_cpr7p_0011045.pdb,0.0
00013_cppc_0012886.pdb,0.0
00002_cppc_0001287.pdb,0.0
00007_cppc_0006997.pdb,0.0
00002_cppc_0001030.pdb,0.0
00008_cppc_0007135.pdb,0.0
00010_cppc_0009843.pdb,0.0
00006_cppc_0005526.pdb,0.0
00008_cppc_0007800.pdb,0.0
00004_cppc_0003849.pdb,0.0
00022_cpr7p_0008144.pdb,0.0
00008_cppc_0007286.pdb,0.0
00006_cppc_0005052.pdb,1.0
00009_cppc_0008787.pdb,0.0
00011_cppc_0010199.pdb,0.0
00004_cppc_0003708.pdb,0.0
00006_cppc_0005965.pdb,0.0
00007_cppc_0006208.pdb,0.0
00010_cppc_0009610.pdb,0.0
00012_cppc_0011430.pdb,0.0
00003_cppc_0002885.pdb,0.0
00001_cppc_0000187.pdb,0.0
00002_cppc_0001455.pdb,0.0
00014_cppc_0013424.pdb,0.0
00009_cppc_0008605.pdb,0.0
00009_cppc_0008088.pdb,0.0
00011_cppc_0010311.pdb,0.0
00009_cppc_0008610.pdb,0.0
00005_cppc_0004856.pdb,0.0
00001_cppc_0000958.pdb,0.0
00012_cppc_0011418.pdb,0.0
00023_cpr7p_0009498.pdb,0.0
00013_cppc_0012514.pdb,0.0
00033_cpr7p_0019232.pdb,1.0
00009_cppc_0008798.pdb,0.0
00007_cppc_0006566.pdb,0.0
00009_cppc_0008983.pdb,0.0
00012_cppc_0011052.pdb,0.0
00012_cppc_0011687.pdb,0.0
00007_cppc_0006615.pdb,0.0
00003_cppc_0002229.pdb,0.0
00049_cpr7p_0034747.pdb,0.0
00010_cppc_0009007.pdb,0.0
00029_cpr7p_0014654.pdb,0.0
00005_cppc_0004908.pdb,0.0
00009_cppc_0008472.pdb,0.0
00011_cppc_0010347.pdb,0.0
00001_cppc_0000959.pdb,0.0
00004_cppc_0003948.pdb,0.0
00036_cpr7p_0022374.pdb,0.0
00009_cppc_0008510.pdb,0.0
00004_cppc_0003757.pdb,0.0
00007_cppc_0006105.pdb,0.0
00002_cppc_0001843.pdb,0.0
00008_cppc_0007240.pdb,0.0
00004_cppc_0003910.pdb,0.0
00012_cppc_0011293.pdb,0.0
00005_cppc_0004843.pdb,0.0
00004_cppc_0003660.pdb,0.0
00009_cppc_0008149.pdb,0.0
00007_cppc_0006085.pdb,0.0
00008_cppc_0007610.pdb,0.0
00008_cppc_0007840.pdb,0.0
00008_cppc_0007178.pdb,0.0
00006_cppc_0005505.pdb,0.0
00016_cpr7p_0002012.pdb,0.0
00013_cppc_0012706.pdb,0.0
00014_cppc_0013210.pdb,0.0
00012_cppc_0011946.pdb,0.0
00003_cppc_0002812.pdb,0.0
00010_cppc_0009334.pdb,0.0
00010_cppc_0010000.pdb,0.0
00007_cppc_0006563.pdb,0.0
00043_cpr7p_0028832.pdb,0.0
00040_cpr7p_0025929.pdb,0.0
00005_cppc_0004271.pdb,0.0
00007_cppc_0006441.pdb,0.0
00008_cppc_0007461.pdb,0.0
00004_cppc_0003363.pdb,0.0
00013_cppc_0012549.pdb,0.0
00014_cppc_0013003.pdb,0.0
00007_cppc_0006900.pdb,0.0
00003_cppc_0002294.pdb,0.0
00004_cppc_0003656.pdb,0.0
00011_cppc_0010496.pdb,0.0
00011_cppc_0010163.pdb,0.0
00004_cppc_0003495.pdb,0.0
00010_cppc_0009198.pdb,0.0
00011_cppc_0010329.pdb,0.0
00007_cppc_0006435.pdb,0.0
00007_cppc_0006532.pdb,0.0
00004_cppc_0003288.pdb,0.0
00011_cppc_0010887.pdb,0.0
00002_cppc_0001020.pdb,0.0
00007_cppc_0006481.pdb,0.0
00003_cppc_0002381.pdb,0.0
00005_cppc_0004069.pdb,0.0
00013_cppc_0012322.pdb,0.0
00030_cpr7p_0016086.pdb,0.0
00009_cppc_0008692.pdb,0.0
00033_cpr7p_0019337.pdb,0.0
00004_cppc_0003561.pdb,0.0
00022_cpr7p_0008158.pdb,0.0
00004_cppc_0003164.pdb,0.0
00002_cppc_0001465.pdb,0.0
00009_cppc_0008678.pdb,0.0
00002_cppc_0001421.pdb,0.0
00002_cppc_0001649.pdb,0.0
00013_cppc_0012748.pdb,0.0
00009_cppc_0008815.pdb,0.0
00011_cppc_0010381.pdb,0.0
00001_cppc_0000827.pdb,0.0
00010_cppc_0009339.pdb,0.0
00005_cppc_0004080.pdb,0.0
00011_cppc_0010675.pdb,0.0
00005_cppc_0004840.pdb,0.0
00004_cppc_0003430.pdb,0.0
00006_cppc_0005210.pdb,0.0
00002_cppc_0001131.pdb,0.0
00010_cppc_0009511.pdb,0.0
00003_cppc_0002234.pdb,0.0
00008_cppc_0007139.pdb,0.0
00007_cppc_0006834.pdb,0.0
00008_cppc_0007663.pdb,0.0
00003_cppc_0002788.pdb,0.0
00007_cppc_0006401.pdb,0.0
00006_cppc_0005712.pdb,0.0
00006_cppc_0005443.pdb,0.0
00002_cppc_0001399.pdb,0.0
00012_cppc_0011384.pdb,0.0
00013_cppc_0012488.pdb,0.0
00005_cppc_0004209.pdb,0.0
00010_cppc_0009967.pdb,0.0
00009_cppc_0008681.pdb,0.0
00015_cpr7p_0000931.pdb,0.0
00001_cppc_0000221.pdb,0.0
00006_cppc_0005484.pdb,0.0
00001_cppc_0000387.pdb,0.0
00013_cppc_0012847.pdb,0.0
00007_cppc_0006921.pdb,0.0
00046_cpr7p_0032276.pdb,0.0
00006_cppc_0005361.pdb,0.0
00012_cppc_0011744.pdb,2.0
00008_cppc_0007648.pdb,0.0
00010_cppc_0009636.pdb,0.0
00003_cppc_0002027.pdb,0.0
00004_cppc_0003410.pdb,0.0
00008_cppc_0007931.pdb,0.0
00050_cpr7p_0036185.pdb,0.0
00007_cppc_0006384.pdb,0.0
00004_cppc_0003036.pdb,0.0
00013_cppc_0012261.pdb,0.0
00011_cppc_0010176.pdb,0.0
00002_cppc_0001034.pdb,0.0
00004_cppc_0003613.pdb,0.0
00041_cpr7p_0027225.pdb,0.0
00005_cppc_0004173.pdb,0.0
00001_cppc_0000272.pdb,0.0
00006_cppc_0005149.pdb,0.0
00007_cppc_0006865.pdb,0.0
00009_cppc_0008380.pdb,0.0
00011_cppc_0010253.pdb,0.0
00010_cppc_0009914.pdb,0.0
00014_cppc_0013260.pdb,0.0
00004_cppc_0003888.pdb,0.0
00005_cppc_0004062.pdb,0.0
00001_cppc_0000185.pdb,0.0
00004_cppc_0003842.pdb,0.0
00006_cppc_0005523.pdb,0.0
00006_cppc_0005798.pdb,0.0
00029_cpr7p_0015398.pdb,7.0
00010_cppc_0009139.pdb,0.0
00012_cppc_0011369.pdb,0.0
00010_cppc_0009087.pdb,0.0
00011_cppc_0010684.pdb,0.0
00003_cppc_0002548.pdb,0.0
00018_cpr7p_0004220.pdb,0.0
00003_cppc_0002656.pdb,0.0
00011_cppc_0010231.pdb,1.0
00007_cppc_0006129.pdb,0.0
00004_cppc_0003322.pdb,0.0
00007_cppc_0006048.pdb,0.0
00010_cppc_0009333.pdb,0.0
00021_cpr7p_0006601.pdb,0.0
00002_cppc_0001546.pdb,0.0
00010_cppc_0009976.pdb,0.0
00007_cppc_0006072.pdb,0.0
00009_cppc_0008851.pdb,0.0
00007_cppc_0006635.pdb,0.0
00008_cppc_0007723.pdb,0.0
00012_cppc_0011789.pdb,0.0
00003_cppc_0002770.pdb,0.0
00008_cppc_0007917.pdb,0.0
00012_cppc_0011261.pdb,0.0
00007_cppc_0006924.pdb,0.0
00012_cppc_0011483.pdb,0.0
00009_cppc_0008469.pdb,0.0
00030_cpr7p_0016307.pdb,0.0
00009_cppc_0008528.pdb,0.0
00013_cppc_0012872.pdb,0.0
00013_cppc_0012069.pdb,0.0
00010_cppc_0009276.pdb,0.0
