,badBondsCategory,badAnglesCategory,rankCategory
00014_cppc_0013307.pdb,Warning,Good,Warning
00008_cppc_0007267.pdb,Warning,Good,Warning
00042_cpr7p_0027647.pdb,Warning,Caution,Caution
00004_cppc_0003794.pdb,Warning,Good,Warning
00014_cppc_0013258.pdb,Warning,Good,Warning
00008_cppc_0007323.pdb,Warning,Good,Warning
00012_cppc_0011096.pdb,Warning,Good,Caution
00006_cppc_0005150.pdb,,,
00010_cppc_0009468.pdb,Warning,Good,Warning
00047_cpr7p_0032981.pdb,Warning,Good,Warning
00008_cppc_0007061.pdb,Warning,Good,Caution
00001_cppc_0000154.pdb,Warning,Good,Warning
00013_cppc_0012800.pdb,Warning,Good,Warning
00006_cppc_0005427.pdb,Warning,Good,Warning
00008_cppc_0007012.pdb,Warning,Good,Warning
00006_cppc_0005656.pdb,Warning,Good,Caution
00007_cppc_0006954.pdb,,,
00012_cppc_0011651.pdb,Warning,Good,Caution
00011_cppc_0010881.pdb,Warning,Good,Warning
00006_cppc_0005358.pdb,Warning,Good,Warning
00011_cppc_0010537.pdb,Warning,Good,Warning
00048_cpr7p_0034569.pdb,Warning,Good,Warning
00007_cppc_0006674.pdb,Warning,Good,Caution
00006_cppc_0005164.pdb,Warning,Good,Warning
00003_cppc_0002922.pdb,Warning,Good,Warning
00005_cppc_0004633.pdb,Warning,Good,Warning
00001_cppc_0000748.pdb,Warning,Good,Warning
00010_cppc_0009969.pdb,Warning,Good,Warning
00034_cpr7p_0019969.pdb,Warning,Good,Warning
00005_cppc_0004716.pdb,Warning,Good,Warning
00009_cppc_0008303.pdb,Warning,Good,Warning
00010_cppc_0009375.pdb,Warning,Good,Warning
00003_cppc_0002318.pdb,Warning,Good,Warning
00009_cppc_0008675.pdb,Warning,Good,Warning
00004_cppc_0003050.pdb,Warning,Good,Warning
00008_cppc_0007935.pdb,,,
00003_cppc_0002317.pdb,Warning,Good,Warning
00012_cppc_0011911.pdb,Warning,Good,Warning
